No,Year,Dead,Seriously Injured,Injured,Date,Time,Weather,Longitude,Latitude,National Road,Highway,Road Type,Road Shape,Road Width,Signal,Kinds of Traffic Accident,Detail_1,Detail_2,A_Type,A_Age,B_Type,B_Age,Elderly Person,Walker,Bicycle,Temperature,Amount of Precipitation[mm],Amount of Snow[cm],Snowfall[cm],Wind Velocity[mps],Wind Direction[mps],Sunshine Duration
75,2013,1,0,0,2013/7/31,13:37,Cloudy,138.599,37.348075,0,0,Near_Intersection,Straight,0,0,V2V,Turning right,Turn right,A passenger car,54,Motorcycle 251-400cc,37,0,0,0,28.4,0,0,0,2.6,NW,1
81,2013,1,0,0,2013/1/12,17:25,Rain,138.3331722,38.0051,1,0,Near_Intersection,Curve,0,0,H2V,Working on the street,-1,Light passenger car,66,Pedestrian,78,1,1,0,4.9,3,0,0,7.2,W,0
99,2013,1,0,0,2013/12/23,5:53,Rain,138.2907639,37.17140278,1,0,Near_Intersection,Straight,0,0,V2V,Rear-end collision,Ongoing,Medium truck,44,Vehicle,63,0,0,1,2.2,0.5,0,0,2.9,SW,0
100,2013,1,0,0,2013/12/30,20:08,Cloudy,138.2461139,37.12325278,0,0,Near_Intersection,Straight,0,1,H2V,During cross,Near the pedestrian crossing,Light passenger car,67,Pedestrian,62,1,1,0,2.6,0,0,8,1.5,WSW,0
109,2014,1,1,0,2014/5/26,0:45,Cloudy,139.1009722,37.94668333,1,0,Near_Intersection,Straight,3m-5.5m,0,V2V,Rear-end collision,Ongoing,Scooter 50cc or less,41,Vehicle,71,1,0,1,18.9,0,0,0,2.2,E,0
117,2014,1,0,0,2014/6/6,23:14,Cloudy,138.9518722,37.86991389,0,0,Near_Intersection,Straight,5.5m-13m,0,H2V,During cross,Near the pedestrian crossing,Light passenger car,29,Pedestrian,70,1,1,0,20.5,0,0,0,10.1,SE,0
120,2014,1,0,0,2014/2/12,19:30,Cloudy,139.4689111,38.20020556,0,0,Near_Intersection,Curve,0,0,H2V,On the street,-1,A passenger car,73,Pedestrian,86,1,1,0,0.6,0,0,44,1.3,WSW,-1
126,2014,1,0,0,2014/6/6,16:09,Rain,139.3999472,38.06290278,0,0,Near_Intersection,Straight,0,1,V2V,etc,-1,A heavy-duty truck,45,Vehicle,8,0,0,1,23.1,0,0,0,5.8,ESE,0.2
141,2014,1,0,0,2014/11/7,8:24,Sunny,139.0262417,37.75407778,0,0,Near_Intersection,Straight,5.5m-13m,0,V2V,Overtaking,-1,A passenger car,46,Bicycle with driving aid,88,1,0,1,11.9,0,0,0,5.3,NNW,0
148,2014,1,0,0,2014/12/13,17:20,Snow,138.8449167,37.63016667,0,0,Near_Intersection,Straight,0,0,H2V,On the back,-1,Light passenger car,19,Pedestrian,78,1,1,0,0.5,0.5,0,27,0.6,NNW,0
160,2014,1,0,0,2014/4/30,14:30,Cloudy,138.9990639,37.474425,0,0,Near_Intersection,Straight,0,0,H2V,In face-to-face way,-1,Light passenger car,79,Pedestrian,70,1,1,0,18.9,0,0,0,4.2,ESE,0.1
161,2014,1,0,0,2014/5/11,17:00,Sunny,139.0078889,37.46837222,0,0,Near_Intersection,Straight,0,0,V,Manufactured articles,House and fence,Light passenger car,89,Property etc.,-1,1,0,0,22,0,0,0,2.5,NW,1
171,2014,1,0,0,2014/2/11,14:25,Cloudy,138.9490194,37.19334722,0,0,Near_Intersection,Straight,0,0,V2V,Rear-end collision,Ongoing,Light truck,64,Bicycle with driving aid,83,1,0,1,1.1,0,0,127,1,E,0.1
177,2014,1,0,0,2014/4/28,10:15,Sunny,138.8498722,37.05033333,0,0,Near_Intersection,Straight,0,0,H2V,During cross,etc,A passenger car,63,Pedestrian,89,1,1,0,17.5,0,0,0,2.3,WNW,0.4
179,2014,1,0,0,2014/12/8,22:34,Sunny,138.8078861,36.94423611,1,0,Near_Intersection,Straight,0,0,H2V,During cross,etc,A heavy-duty truck,67,Pedestrian,71,1,1,0,-1,0,0,44,2,SSE,-1
182,2014,1,0,0,2014/9/18,16:30,Sunny,138.7287444,37.14404444,0,0,Near_Intersection,Straight,0,0,V,Outside the road,Falling,Small-sized special motor vehicles etc.,78,None,-1,1,0,0,19.7,0,0,0,1.5,WNW,0.8
187,2014,1,0,2,2014/9/22,14:54,Sunny,138.4912056,37.34923333,1,0,Near_Intersection,Straight,0,1,V2V,Rear-end collision,etc,Light passenger car,57,A passenger car,54,0,0,0,22.4,0,0,0,3,NNW,1
189,2014,1,0,0,2014/4/2,11:25,Sunny,138.276325,37.03344722,0,0,Near_Intersection,Straight,0,0,V,Outside the road,Falling,Small-sized special motor vehicles for Farming,87,None,-1,1,0,0,17.6,0,0,0,3.5,N,1
195,2014,1,0,0,2014/5/28,1:00,Cloudy,138.2803333,37.81718056,1,0,Near_Intersection,Straight,0,0,V,Manufactured articles,Telegraph pole,Vehicle,72,Property etc.,-1,1,0,1,18.9,0,0,0,4.6,ESE,0
198,2014,1,0,0,2014/2/22,20:45,Cloudy,138.2584889,37.14603333,0,0,Near_Intersection,Straight,0,1,H2V,During cross,etc,A passenger car,28,Pedestrian,66,1,1,0,3,0,0,55,1.6,NW,0
214,2015,1,0,0,2015/10/15,6:22,Sunny,139.1355139,37.91926111,0,0,Near_Intersection,Straight,3m-5.5m,0,H2V,In face-to-face way,-1,Light passenger car,19,Pedestrian,54,0,1,0,8.4,0,0,0,2.1,SSW,0
221,2015,1,0,0,2015/7/10,8:40,Sunny,139.2968611,37.98515833,0,0,Near_Intersection,Straight,0,0,V,Outside the road,Falling,Small-sized special motor vehicles for Farming,66,None,-1,1,0,0,24.7,0,0,0,1.3,WNW,0.9
233,2015,1,0,0,2015/5/5,13:30,Sunny,139.4167806,37.76367222,0,0,Near_Intersection,Straight,0,0,V,Outside the road,Falling,Scooter 50cc or less,77,None,-1,1,0,0,19.1,0,0,0,3.3,NNW,1
242,2015,1,0,0,2015/4/15,18:49,Cloudy,138.8939,37.76165556,0,0,Near_Intersection,Straight,5.5m-13m,0,H2V,During cross,etc,Light passenger car,64,Pedestrian,73,1,1,0,9.4,0.5,0,0,2.7,WSW,0
249,2015,1,0,0,2015/8/19,17:24,Sunny,139.0270917,37.68405,0,0,Near_Intersection,Straight,0,0,H2V,etc,-1,A passenger car,37,Pedestrian,2,0,1,0,24.5,0,0,0,3.1,N,0.3
257,2015,1,0,0,2015/7/9,15:45,Sunny,138.9213806,37.52374444,0,0,Near_Intersection,Straight,0,0,V2V,Encounter,-1,A passenger car,30,Vehicle,86,1,0,1,25.9,0,0,0,2.2,N,0.5
258,2015,1,0,0,2015/7/13,23:35,Sunny,138.9103056,37.53100556,0,0,Near_Intersection,Straight,0,0,V2V,Encounter,-1,Light passenger car,31,Vehicle,67,1,0,1,27.4,0,0,0,1.5,SW,-1
259,2015,1,0,0,2015/11/12,10:57,Sunny,138.89105,37.55049722,0,0,Near_Intersection,Straight,0,0,H2V,During cross,Near the pedestrian crossing,Light passenger car,67,Other quasi-pedestrians,87,1,1,0,13.6,0,0,0,2.4,NNE,0.7
264,2015,1,0,0,2015/9/20,3:40,Cloudy,138.8661639,37.46354167,0,0,Near_Intersection,Straight,0,0,H2V,On the street,-1,Light passenger car,40,Pedestrian,66,1,1,0,17.4,0,0,0,2.6,SSW,-1
270,2015,1,0,0,2015/6/29,17:20,Sunny,138.8157111,37.62087778,0,0,Near_Intersection,Straight,0,0,V2V,Turning right,etc,Light passenger car,71,Vehicle,66,1,0,1,23.2,0,0,0,3.2,N,0.8
274,2015,1,0,0,2015/9/29,11:20,Sunny,138.962725,37.23967222,1,0,Near_Intersection,Straight,0,0,V,Manufactured articles,Protection fence etc.,Light truck,55,Property etc.,-1,0,0,0,20.5,0,0,0,1.6,W,0.9
280,2015,1,0,0,2015/1/24,22:50,Cloudy,138.6511694,37.01390556,1,0,Near_Intersection,Straight,0,0,H2V,During cross,Near the pedestrian crossing,A passenger car,59,Pedestrian,51,0,1,0,0.5,0,0,270,0.9,ESE,-1
289,2015,1,0,0,2015/12/21,21:15,Cloudy,138.3632972,38.02094167,1,0,Near_Intersection,Straight,0,0,H2V,During cross,etc,Light passenger car,41,Pedestrian,81,1,1,0,9.2,0,0,0,8.5,NNW,0
302,2016,1,0,0,2016/2/6,18:08,Snow,139.0262611,37.91542778,1,0,Near_Intersection,Straight,19.5m-,1,H2V,During cross,Near the pedestrian crossing,A passenger car,38,Pedestrian,93,1,1,0,2.3,0,0,2,4.3,N,0
306,2016,1,0,0,2016/7/8,10:56,Cloudy,139.105325,37.94273889,0,0,Near_Intersection,Straight,-3m,0,H2V,During cross,Near the pedestrian crossing,Light passenger car,79,Pedestrian,74,1,1,0,24.3,0,0,0,1.3,WNW,0.9
313,2016,1,0,0,2016/2/6,20:30,Snow,139.1620056,37.73057778,0,0,Near_Intersection,Straight,0,0,V,Outside the road,Falling,Vehicle,63,None,-1,0,0,1,-0.2,0,0,26,2.1,ENE,-1
318,2016,1,0,2,2016/4/29,15:00,Cloudy,138.8750639,37.774775,0,0,Near_Intersection,Straight,5.5m-13m,0,V,Outside the road,Falling,Light passenger car,42,None,-1,0,0,0,12.4,0,0,0,7.8,NW,1
325,2016,1,0,0,2016/9/10,14:15,Sunny,138.8712972,37.58935556,0,0,Near_Intersection,Straight,0,0,V,Outside the road,Falling,Large-sized special motor vehicles for Farming,67,None,-1,1,0,0,27.2,0,0,0,3.4,NW,0.6
327,2016,1,0,0,2016/6/15,9:34,Sunny,138.8684278,37.45313611,0,0,Near_Intersection,Straight,0,0,V2V,etc,-1,A passenger car,83,Vehicle,84,1,0,1,25.9,0,0,0,1.8,ENE,1
328,2016,1,0,0,2016/6/21,19:46,Sunny,138.7863694,37.44499167,1,0,Near_Intersection,Straight,0,0,H2V,During cross,etc,Light passenger car,18,Pedestrian,74,1,1,0,23.4,0,0,0,0.8,NNE,0
332,2016,1,0,0,2016/1/15,17:23,Cloudy,138.7741806,37.65148611,1,0,Near_Intersection,Straight,0,0,H2V,During cross,Near the pedestrian crossing,A passenger car,36,Pedestrian,52,0,1,0,1.7,0,0,0,1.6,N,0.3
336,2016,1,0,0,2016/1/28,20:30,Cloudy,138.7712139,37.22566944,0,0,Near_Intersection,Straight,0,0,H2V,During cross,etc,Medium passenger car,57,Pedestrian,90,1,1,0,1.2,0,0,77,0.4,NW,-1
342,2016,1,0,0,2016/8/13,11:38,Cloudy,138.9586972,37.14378889,1,0,Near_Intersection,Straight,0,0,H2V,During cross,etc,Light passenger car,42,Pedestrian,64,0,1,0,30.9,0,0,0,1.8,WSW,0.6
355,2016,1,0,0,2016/2/16,4:49,Cloudy,138.328275,37.22563889,1,0,Near_Intersection,Straight,0,0,H2V,On the street,-1,A heavy-duty truck,56,Pedestrian,63,0,1,0,-1.3,0,0,35,1.3,SW,0
356,2016,1,0,0,2016/5/3,12:05,Sunny,138.2543,37.14438333,0,0,Near_Intersection,Straight,0,0,H2V,During cross,etc,Truck,67,Pedestrian,89,1,1,0,29.4,0,0,0,11.5,S,1
360,2016,1,0,0,2016/7/17,11:05,Cloudy,138.303625,37.03295556,0,0,Near_Intersection,Curve,0,0,V,Manufactured articles,etc,Light truck,83,Property etc.,-1,1,0,0,25.6,1,0,0,0.9,NNE,0.1
